,date,dji
671,2020-09-01,1153949.7618115274
672,2020-09-02,1172272.3393501425
673,2020-09-03,1139732.4902735215
674,2020-09-04,1133310.4849899209
675,2020-09-08,1107834.3460483893
676,2020-09-09,1125542.2055874113
677,2020-09-10,1109191.477851151
678,2020-09-11,1114471.0659641272
679,2020-09-14,1127671.5704845036
680,2020-09-15,1127762.995329701
681,2020-09-16,1129244.675781299
682,2020-09-17,1123991.6811258756
683,2020-09-18,1114139.9066066095
684,2020-09-21,1093606.5315420043
685,2020-09-22,1099265.5878377575
686,2020-09-23,1078114.741013162
687,2020-09-24,1080221.918469337
688,2020-09-25,1094664.4476078595
689,2020-09-28,1111184.728305738
690,2020-09-29,1105891.4500696426
691,2020-09-30,1119146.3216881528
692,2020-10-01,1120564.3509351336
693,2020-10-02,1115162.7318971136
694,2020-10-05,1133928.0354287797
695,2020-10-06,1118786.2085070268
696,2020-10-07,1140164.7519770623
697,2020-10-08,1145081.315790778
698,2020-10-09,1151582.7080526957
699,2020-10-12,1161678.5444220498
700,2020-10-13,1155325.4618272553
701,2020-10-14,1148646.0192859215
702,2020-10-15,1147848.3729170654
703,2020-10-16,1152364.6186478517
704,2020-10-19,1135812.4730082306
705,2020-10-20,1140379.3879303313
706,2020-10-21,1136432.8558863557
707,2020-10-22,1142589.7920619787
708,2020-10-23,1141458.2325752075
709,2020-10-26,1115266.2732880597
710,2020-10-27,1106315.6078497279
711,2020-10-28,1068318.5137750572
712,2020-10-29,1073924.383155704
713,2020-10-30,1067579.3258054967
714,2020-11-02,1084637.455248443
715,2020-11-03,1106993.9770539375
716,2020-11-04,1121803.464435145
717,2020-11-05,1143658.093738476
718,2020-11-06,1140967.984545582
719,2020-11-09,1174587.465055764
720,2020-11-10,1185180.0011219606
721,2020-11-11,1184241.834293963
722,2020-11-12,1171453.3710079226
723,2020-11-13,1187552.3263649822
724,2020-11-16,1206510.9438765536
725,2020-11-17,1199779.966676352
726,2020-11-18,1185884.9637837235
727,2020-11-19,1187690.0930637259
728,2020-11-20,1178837.7762110191
729,2020-11-23,1192042.2933536891
730,2020-11-24,1210370.1423764937
731,2020-11-25,1203370.083446021
732,2020-11-27,1204896.768210401
733,2020-11-30,1193950.5706302954
734,2020-12-01,1201414.2841328403
735,2020-12-02,1203826.0274889804
736,2020-12-03,1207279.557742933
737,2020-12-04,1217299.70504079
738,2020-12-07,1211318.773494002
739,2020-12-08,1215511.963790726
740,2020-12-09,1211279.3553808832
741,2020-12-10,1208477.6008735872
742,2020-12-11,1210375.3351818146
743,2020-12-14,1202930.189892236
744,2020-12-15,1216536.3626585999
745,2020-12-16,1214732.8069559673
746,2020-12-17,1220728.2154145592
747,2020-12-18,1215720.226755646
748,2020-12-21,1217226.7697296902
749,2020-12-22,1209132.20905951
750,2020-12-23,1213737.44059057
751,2020-12-24,1216558.864814991
752,2020-12-28,1224780.8065732731
753,2020-12-29,1222029.4065418176
754,2020-12-30,1225005.9854949212
755,2020-12-31,1232938.6250537278
756,2021-01-04,1217526.5362186763
757,2021-01-05,1224282.4546201923
758,2021-01-06,1241918.6377100106
759,2021-01-07,1250447.8991286552
760,2021-01-08,1252737.611559751
761,2021-01-11,1249141.0431228648
762,2021-01-12,1251558.0579631943
763,2021-01-13,1251226.9772845453
764,2021-01-14,1248449.3771898788
765,2021-01-15,1241308.7191213963
766,2021-01-19,1245992.078768877
767,2021-01-20,1256379.6563826303
768,2021-01-21,1255881.3044295495
769,2021-01-22,1248669.3633062055
770,2021-01-25,1247179.6576100206
771,2021-01-26,1246254.7088319312
772,2021-01-27,1220720.1901699721
773,2021-01-28,1232812.8962218643
774,2021-01-29,1207807.2569139646
775,2021-02-01,1217043.9200392952
776,2021-02-02,1236201.5950881727
777,2021-02-03,1237656.603403349
778,2021-02-04,1251041.216476016
779,2021-02-05,1254762.6482772122
780,2021-02-08,1264330.7854755349
781,2021-02-09,1263930.7821080792
782,2021-02-10,1266427.1839267253
783,2021-02-11,1266141.1075608584
784,2021-02-12,1267257.0099527983
785,2021-02-16,1269849.242633278
786,2021-02-17,1273485.622577625
787,2021-02-18,1268664.4962314002
788,2021-02-19,1268703.9930233874
789,2021-02-22,1269806.5200076823
790,2021-02-23,1270437.3671753178
791,2021-02-24,1287538.1405649912
792,2021-02-25,1264985.3936614573
