,account_value,date,daily_return,datadate
244,876993.0869373787,2018-12-20,-0.0190306863106246,2018-12-20
245,859000.2574696053,2018-12-21,-0.0205165009117777,2018-12-21
246,836656.6461414803,2018-12-24,-0.0260111811769924,2018-12-24
247,878294.7192615975,2018-12-26,0.0497672173072967,2018-12-26
248,885492.473778199,2018-12-27,0.0081951472082775,2018-12-27
249,884804.8766102303,2018-12-28,-0.0007765138477517,2018-12-28
250,893962.7739490975,2018-12-31,0.0103501885906776,2018-12-31
251,896016.5804676522,2019-01-02,0.0022974183919113,2019-01-02
252,873514.0160145272,2019-01-03,,2019-01-03
253,903567.4111561287,2019-01-04,0.03440516647772,2019-01-04
254,911364.3958973396,2019-01-07,0.0086291123882329,2019-01-07
255,922534.3371815194,2019-01-08,0.0122562844614766,2019-01-08
256,927529.1372303476,2019-01-09,0.0054142158698264,2019-01-09
257,932132.0165028084,2019-01-10,0.0049625171735363,2019-01-10
258,932392.1178211678,2019-01-11,0.0002790391422613,2019-01-11
259,927049.8755115976,2019-01-14,-0.005729609042657,2019-01-14
260,933742.6867908944,2019-01-15,0.0072194727124075,2019-01-15
261,939442.750755738,2019-01-16,0.0061045339850893,2019-01-16
262,946352.3369373787,2019-01-17,0.0073549837667938,2019-01-17
263,958343.0869373787,2019-01-18,0.012670492301847,2019-01-18
264,945158.828880738,2019-01-22,-0.0137573466500124,2019-01-22
265,948928.9768299568,2019-01-23,0.0039889041227954,2019-01-23
266,950509.0804676522,2019-01-24,0.0016651442587134,2019-01-24
267,959219.7215809334,2019-01-25,0.0091641850585957,2019-01-25
268,951803.2636951912,2019-01-28,-0.007731761262705,2019-01-28
269,952703.321068238,2019-01-29,0.0009456338377666,2019-01-29
270,967310.04836316,2019-01-30,0.0153318740177621,2019-01-30
271,969573.3844227304,2019-01-31,0.0023398248197672,2019-01-31
272,971803.3137440194,2019-02-01,0.0022999077296421,2019-02-01
273,979665.1230701912,2019-02-04,0.0080899182118272,2019-02-04
274,984713.9907459724,2019-02-05,0.0051536668570566,2019-02-05
275,983691.581566285,2019-02-06,-0.0010382803426129,2019-02-06
276,975312.4498524178,2019-02-07,-0.0085180475983391,2019-02-07
277,973831.152244996,2019-02-08,-0.0015187928828818,2019-02-08
278,975129.0766834724,2019-02-11,0.0013328023399994,2019-02-11
279,988918.2368397224,2019-02-12,0.0141408563091447,2019-02-12
280,992976.71242566,2019-02-13,0.0041039546392704,2019-02-13
281,990738.0802235116,2019-02-14,-0.0022544659649468,2019-02-14
282,1007420.2470936287,2019-02-15,0.0168381201884899,2019-02-15
283,1008741.9289783944,2019-02-19,0.0013119469144864,2019-02-19
284,1011914.5101551522,2019-02-20,0.0031450870491434,2019-02-20
285,1007914.0598377694,2019-02-21,-0.0039533481111654,2019-02-21
286,1015715.3637928476,2019-02-22,0.0077400487461538,2019-02-22
287,1017012.7192615976,2019-02-25,0.0012772825094478,2019-02-25
288,1013716.2251209724,2019-02-26,-0.0032413499636645,2019-02-26
289,1012583.3215565194,2019-02-27,-0.0011175746588429,2019-02-27
290,1009613.6574940194,2019-02-28,-0.0029327601978819,2019-02-28
291,1015483.148338746,2019-03-01,0.0058136008770872,2019-03-01
292,1007085.11476941,2019-03-04,-0.0082699881165674,2019-03-04
293,1005221.5456776132,2019-03-05,-0.0018504583817858,2019-03-05
294,995058.130028199,2019-03-06,-0.0101106225718261,2019-03-06
295,987042.6803211678,2019-03-07,-0.0080552577433884,2019-03-07
296,986053.253903199,2019-03-08,-0.0010024150299628,2019-03-08
297,997031.2644350594,2019-03-11,0.0111332836116153,2019-03-11
298,994760.085724122,2019-03-12,-0.0022779413163381,2019-03-12
299,999924.8684389656,2019-03-13,0.0051919882883963,2019-03-13
300,998797.7200014656,2019-03-14,-0.0011272331282845,2019-03-14
301,1003278.7165834968,2019-03-15,0.0044863904795704,2019-03-15
302,1007161.7820131844,2019-03-18,0.0038703755651376,2019-03-18
303,1004617.0315249033,2019-03-19,-0.002526655134982,2019-03-19
304,998476.9363100594,2019-03-20,-0.0061118764884203,2019-03-20
305,1008228.7619936533,2019-03-21,0.0097667009912441,2019-03-21
306,984317.6282045906,2019-03-22,-0.0237159806290202,2019-03-22
307,986133.260040528,2019-03-25,0.0018445588943167,2019-03-25
308,993035.1423647468,2019-03-26,0.0069989347321426,2019-03-26
309,990915.8127749033,2019-03-27,-0.0021341939468495,2019-03-27
310,996007.2102358406,2019-03-28,0.0051380726750942,2019-03-28
311,998793.4903847666,2019-03-29,0.0027974497777643,2019-03-29
312,1009585.2677285166,2019-04-01,0.0108048134550744,2019-04-01
313,1008101.6539589852,2019-04-02,-0.0014695279506893,2019-04-02
314,1011115.1129433603,2019-04-03,0.0029892411866805,2019-04-03
315,1014539.8243691416,2019-04-04,,2019-04-04
316,1020413.2822915048,2019-04-05,0.0057892827676977,2019-04-05
317,1021329.8386376963,2019-04-08,0.0008982207132126,2019-04-08
318,1015238.6891650402,2019-04-09,-0.0059639396032734,2019-04-09
319,1022245.33066504,2019-04-10,0.0069014721117084,2019-04-10
320,1020084.64316504,2019-04-11,-0.0021136682508438,2019-04-11
321,1024795.08066504,2019-04-12,0.0046176927881051,2019-04-12
322,1023751.83066504,2019-04-15,-0.0010180083996138,2019-04-15
323,1026852.01816504,2019-04-16,0.0030282607631442,2019-04-16
324,1026320.83066504,2019-04-17,-0.0005172970307339,2019-04-17
