date,ensemble
2020-12-03,1538678.299557743
2020-12-04,1550132.0983858677
2020-12-07,1552232.8337374302
2020-12-08,1559216.3991671177
2020-12-09,1537193.1989718052
2020-12-10,1541560.1638155552
2020-12-11,1540042.0485811802
2020-12-14,1542060.2399874302
2020-12-15,1560668.7770968052
2020-12-16,1565147.5231905552
2020-12-17,1576522.0788546177
2020-12-18,1573652.5075655552
2020-12-21,1573199.311276493
2020-12-22,1575211.572995243
2020-12-23,1574099.8239718052
2020-12-24,1578080.9577608677
2020-12-28,1589409.908932743
2020-12-29,1584165.1794405552
2020-12-30,1587063.0827608677
2020-12-31,1591927.9841280552
2021-01-04,1569668.0602999302
2021-01-05,1584977.251705692
2021-01-06,1584492.7246220738
2021-01-07,1623711.2580693394
2021-01-08,1637709.0300419957
2021-01-11,1619763.905530277
2021-01-12,1627383.8505986363
2021-01-13,1631873.0764287144
2021-01-14,1634492.93018848
2021-01-15,1618918.6833623082
2021-01-19,1643198.0236943394
2021-01-20,1672243.1201298863
2021-01-21,1678259.1972783238
2021-01-22,1682332.682874027
2021-01-25,1691814.705579105
2021-01-26,1689387.7927373082
2021-01-27,1646840.9411748082
2021-01-28,1653818.4060185582
2021-01-29,1621709.6838505894
2021-02-01,1662945.7214482457
2021-02-02,1688113.19190723
2021-02-03,1688705.5075810582
2021-02-04,1711077.8457158238
2021-02-05,1722684.2050908238
2021-02-08,1742568.331311527
2021-02-09,1745668.1093876988
2021-02-10,1740197.19190723
2021-02-11,1746237.9245732457
2021-02-12,1754173.5896123082
2021-02-16,1747329.3674443394
2021-02-17,1736777.5544560582
2021-02-18,1722153.7854130894
2021-02-19,1728014.84815723
2021-02-22,1689564.9441044957
2021-02-23,1680241.4253056676
2021-02-24,1699940.5869267613
2021-02-25,1639753.0566533238
2021-02-26,1647717.3010380894
2021-03-01,1698038.4636357457
2021-03-02,1668769.323499027
2021-03-03,1627381.2822392613
2021-03-04,1591611.1308720738
2021-03-05,1617426.9365361363
2021-03-08,1584927.7631962926
2021-03-09,1639361.1479619176
2021-03-10,1642924.809827152
2021-03-11,1683886.3838017613
2021-03-12,1676814.2002080113
2021-03-15,1692663.3261845738
2021-03-16,1689838.604016605
2021-03-17,1697334.4885380894
2021-03-18,1646210.438733402
2021-03-19,1658925.9885380894
2021-03-22,1674362.661389652
2021-03-23,1649983.79346973
2021-03-24,1616082.842297855
2021-03-25,1622722.0263798863
2021-03-26,1643989.8569462926
2021-03-29,1629106.403577152
2021-03-30,1631315.3752568394
2021-03-31,1655571.982922855
2021-04-01,1684133.2963994176
2021-04-05,1709595.0705693394
2021-04-06,1708236.6557744176
2021-04-07,1701031.587547367
2021-04-08,1705931.167622318
2021-04-09,1713432.5260207555
2021-04-12,1715688.329731693
2021-04-13,1714084.0768020055
2021-04-14,1718112.8756301303
2021-04-15,1730645.4518020055
2021-04-16,1738090.6280715368
2021-04-19,1729644.257466068
2021-04-20,1712180.3712355993
2021-04-21,1731157.851216068
2021-04-22,1721383.4561965368
2021-04-23,1740194.2935988803
2021-04-26,1743969.2096145055
2021-04-27,1747402.9679152868
2021-04-28,1752623.2013137245
2021-04-29,1758415.5938918493
2021-04-30,1741621.6119582555
2021-05-03,1752965.4889113803
2021-05-04,1749088.6236770055
2021-05-05,1755419.6002395055
2021-05-06,1767350.901997318
2021-05-07,1781380.7003371618
2021-05-10,1773461.3722121618
2021-05-11,1756175.5763137245
2021-05-12,1722632.9244582555
2021-05-13,1737519.021137943
2021-05-14,1762589.4268996618
2021-05-17,1763392.234028568
2021-05-18,1754237.1139113803
2021-05-19,1743053.0772902868
2021-05-20,1755629.4146926303
2021-05-21,1758252.9835402868
2021-05-24,1767890.944966068
2021-05-25,1759910.525044193
2021-05-26,1766527.9342238803
2021-05-27,1775091.569966068
2021-05-28,1777631.8702590368
2021-06-01,1787009.437153568
2021-06-02,1790294.064106693
2021-06-03,1785825.3370559118
2021-06-04,1794037.2188918493
2021-06-07,1794093.8272902868
2021-06-08,1791545.7935988803
2021-06-09,1784531.673481693
2021-06-10,1787914.2804152868
2021-06-11,1792577.0401809118
2021-06-14,1789106.2052199745
2021-06-15,1788390.4420363803
2021-06-16,1776271.118794193
2021-06-17,1762240.5753371618
2021-06-18,1733541.2447707555
2021-06-21,1762278.823872318
2021-06-22,1766262.6085402868
2021-06-23,1765040.4654738803
2021-06-24,1778010.8619582555
2021-06-25,1788743.253559818
2021-06-28,1779650.8487746618
2021-06-29,1776853.946919193
2021-06-30,1777692.0318801303
2021-07-01,1786874.8839309118
2021-07-02,1790533.3717238803
2021-07-06,1776389.913716068
2021-07-07,1771170.138145756
2021-07-08,1757460.2717033732
2021-07-09,1778689.1081291544
2021-07-12,1782007.4689689982
2021-07-13,1769999.4201408732
2021-07-14,1761206.501195561
2021-07-15,1749471.140355717
2021-07-16,1734064.1369377482
2021-07-19,1714280.6906486857
2021-07-20,1745796.4318596232
2021-07-21,1764824.210668217
2021-07-22,1764608.954808842
2021-07-23,1780957.013402592
2021-07-26,1782437.409886967
2021-07-27,1761100.9753166544
2021-07-28,1776096.9772697794
2021-07-29,1779938.6974846232
2021-07-30,1767575.3053947794
2021-08-02,1766733.6960197794
2021-08-03,1775759.341527592
2021-08-04,1773427.602758061
2021-08-05,1790655.0685783732
2021-08-06,1786706.614476811
2021-08-09,1787081.054418217
2021-08-10,1780789.0470939982
2021-08-11,1780253.7951408732
2021-08-12,1784246.8635002482
2021-08-13,1781663.1701408732
2021-08-16,1776737.489965092
2021-08-17,1758416.4733635294
2021-08-18,1742948.2853752482
2021-08-19,1740429.177465092
2021-08-20,1762615.325902592
2021-08-23,1790998.1711174357
2021-08-24,1801963.583226811
2021-08-25,1805390.9128166544
2021-08-26,1792179.3210197794
2021-08-27,1819725.460668217
2021-08-30,1831236.630101811
2021-08-31,1831789.761449467
2021-09-01,1838699.9733635292
2021-09-02,1843426.388402592
2021-09-03,1844719.977758061
2021-09-07,1843236.8498283727
2021-09-08,1830745.3385979044
2021-09-09,1826929.1276604044
2021-09-10,1810728.1359611857
2021-09-13,1811804.2677971232
2021-09-14,1800482.489965092
2021-09-15,1816256.6047111857
2021-09-16,1817997.2345939984
2021-09-17,1805225.937230717
2021-09-20,1764790.0060783732
2021-09-21,1768555.423070561
2021-09-22,1788135.536840092
2021-09-23,1809442.3444572797
2021-09-24,1807312.585179936
2021-09-27,1804843.939183842
2021-09-28,1755896.9299064982
2021-09-29,1751887.3464104044
2021-09-30,1742468.1413322794
2021-10-01,1759663.796605717
