date,ensemble,dji
2019-11-11,1058816.7868232434,1115512.3807887288
2019-11-12,1058777.2868232434,1115512.3807887288
2019-11-13,1058574.2321357434,1119222.482832861
2019-11-14,1059123.2975654309,1119156.8646565317
2019-11-15,1067099.1344794934,1128137.270707157
2019-11-18,1066376.2536201184,1129399.3584367705
2019-11-19,1064996.916706056,1125282.3292847546
2019-11-20,1061279.9821357434,1120733.117108067
2019-11-21,1060262.471393556,1118525.5454156853
2019-11-22,1062990.3629951184,1122929.752437727
2019-11-25,1070253.5797919934,1130617.9367521033
2019-11-26,1072372.3844794934,1132841.9523280016
2019-11-27,1076157.2868232434,1134546.7660506663
2019-11-29,1071226.8844794934,1130011.2439970972
2019-12-02,1063567.819049806,1119200.295391944
2019-12-03,1057076.3952216809,1107911.687376125
2019-12-04,1064334.9059638684,1113832.1148730363
2019-12-05,1066256.9821357434,1114960.4485261992
2019-12-06,1074630.2106513684,1128546.951575438
2019-12-09,1072005.8522529309,1124298.6073918955
2019-12-10,1071234.7536201184,1123175.545222922
2019-12-11,1073968.971393556,1124367.1366863593
2019-12-12,1083250.6999091809,1133259.7371197382
2019-12-13,1083245.1452216809,1133393.8845905312
2019-12-16,1090972.178424806,1137442.7778424257
2019-12-17,1090987.916706056,1138702.4265271155
2019-12-18,1091292.8844794934,1137579.2856792738
2019-12-19,1093857.221393556,1143125.595156466
2019-12-20,1098406.0475654309,1146272.9072542153
2019-12-23,1099254.526081056,1150157.8337441552
2019-12-24,1098871.3297919934,1148704.3990063488
2019-12-26,1102448.471393556,1152972.0981915426
2019-12-27,1102742.3297919934,1153933.6326434847
2019-12-30,1097371.178424806,1146556.9379695014
2019-12-31,1100284.6891669934,1149630.5279674658
2020-01-02,1107352.026081056,1162938.6651799507
2020-01-03,1100602.2321357434,1153515.5331362742
2020-01-06,1102557.4821357434,1156274.958412317
2020-01-07,1099132.8629951184,1151452.9665985387
2020-01-08,1101976.0915107434,1157955.1456491412
2020-01-09,1106969.678424806,1166487.6329013943
2020-01-10,1103834.9059638684,1161124.6451878077
2020-01-13,1110524.678424806,1164479.5121406608
2020-01-14,1110088.5583076184,1165793.5279234846
2020-01-15,1111360.5045966809,1169441.2376248958
2020-01-16,1118355.9391669934,1180213.8696210894
2020-01-17,1121628.1129951184,1182246.5381887953
2020-01-21,1115843.7545966809,1176120.9948817035
2020-01-22,1115864.276081056,1175727.4431814651
2020-01-23,1115216.4606513684,1174672.8316280867
2020-01-24,1105454.4059638684,1167810.1460020158
2020-01-27,1088953.666706056,1149524.2328161222
2020-01-28,1097486.5153388684,1157059.2293735282
2020-01-29,1094816.2536201184,1157526.5031735515
2020-01-30,1096246.971393556,1162561.5573632289
2020-01-31,1076669.166706056,1138254.0356555323
2020-02-03,1081710.971393556,1144046.059239051
2020-02-04,1096319.6452216809,1160474.5216973894
2020-02-05,1109119.2653388684,1179940.3031953142
2020-02-06,1109916.3629951184,1183522.3160415275
2020-02-07,1101777.7428779309,1172353.2999058294
2020-02-10,1105929.2545966809,1179375.1528828763
2020-02-11,1111427.623737306,1179355.7978812254
2020-02-12,1117976.7545966809,1190437.0083996775
2020-02-13,1114979.4606513684,1185276.304057005
